ts_event,open,high,low,close,volume
2025-07-11 18:30:00+00:00,211.15,211.65,210.96,211.36,464750
2025-07-11 19:30:00+00:00,211.36,211.52,210.62,211.15,491401
2025-07-11 20:30:00+00:00,211.145,211.4,210.77,210.83,8384777
2025-07-14 13:30:00+00:00,209.9,210.68,209.9,210.5,580274
2025-07-14 14:30:00+00:00,210.43,210.91,207.54,208.25,2512032
2025-07-14 15:30:00+00:00,208.24,208.89,207.83,208.79,904007
2025-07-14 16:30:00+00:00,208.79,209.18,208.56,208.83,617547
2025-07-14 17:30:00+00:00,208.84,209.33,208.78,209.04,427971
2025-07-14 18:30:00+00:00,209.04,209.45,208.965,209.05,455673
2025-07-14 19:30:00+00:00,209.06,209.405,208.88,209.11,656394
2025-07-14 20:30:00+00:00,209.12,209.19,208.52,208.59,6343263
2025-07-15 13:30:00+00:00,209.32,209.76,208.92,209.63,612721
2025-07-15 14:30:00+00:00,209.64,211.13,209.22,210.07,1824076
2025-07-15 15:30:00+00:00,210.1,211.47,209.2,211.09,1018561
2025-07-15 16:30:00+00:00,211.1,211.89,210.36,210.79,912198
2025-07-15 17:30:00+00:00,210.79,211.06,210.38,210.77,416819
2025-07-15 18:30:00+00:00,210.76,211.67,210.68,211.45,552428
2025-07-15 19:30:00+00:00,211.46,211.48,209.96,210.19,751687
2025-07-15 20:30:00+00:00,210.2,210.2,208.99,209.09,5685028
2025-07-16 13:30:00+00:00,210.33,210.95,210.31,210.89,490169
2025-07-16 14:30:00+00:00,210.9,212.4,209.91,212.16,2342907
2025-07-16 15:30:00+00:00,212.16,212.16,209.29,209.65,1705419
2025-07-16 16:30:00+00:00,209.64,210.5,208.64,209.67,1223023
2025-07-16 17:30:00+00:00,209.66,210.945,209.37,210.36,594937
2025-07-16 18:30:00+00:00,210.36,210.63,209.87,210.13,440434
2025-07-16 19:30:00+00:00,210.135,210.58,210.05,210.31,340298
2025-07-16 20:30:00+00:00,210.31,210.635,209.97,210.09,8927825
2025-07-17 13:30:00+00:00,210.72,210.92,210.46,210.8,675050
2025-07-17 14:30:00+00:00,210.82,211.01,209.6,209.98,1499538
2025-07-17 15:30:00+00:00,209.98,210.83,209.77,210.43,860687
2025-07-17 16:30:00+00:00,210.43,211.485,210.11,211.45,1101229
2025-07-17 17:30:00+00:00,211.46,211.51,210.79,210.99,830217
2025-07-17 18:30:00+00:00,211.0,211.8,210.97,211.23,1060399
2025-07-17 19:30:00+00:00,211.24,211.27,210.78,211.01,791033
2025-07-17 20:30:00+00:00,211.01,211.05,209.74,210.02,7932619
2025-07-18 13:30:00+00:00,210.66,211.0,210.27,210.46,4136233
2025-07-18 14:30:00+00:00,210.49,211.01,209.705,209.83,1508211
2025-07-18 15:30:00+00:00,209.82,211.01,209.8,210.85,968902
2025-07-18 16:30:00+00:00,210.86,211.12,210.675,211.01,807589
2025-07-18 17:30:00+00:00,211.01,211.79,210.88,211.13,973556
2025-07-18 18:30:00+00:00,211.13,211.53,210.76,211.02,737334
2025-07-18 19:30:00+00:00,211.02,211.195,210.79,210.95,565058
2025-07-18 20:30:00+00:00,210.94,211.35,210.835,211.01,8074856
2025-07-21 13:30:00+00:00,212.14,212.25,211.65,211.9,693490
2025-07-21 14:30:00+00:00,211.9,215.78,211.76,214.29,4954480
2025-07-21 15:30:00+00:00,214.3,214.715,212.87,213.49,1620177
2025-07-21 16:30:00+00:00,213.48,213.71,213.16,213.33,614693
2025-07-21 17:30:00+00:00,213.34,213.85,213.14,213.655,495818
2025-07-21 18:30:00+00:00,213.655,213.655,212.51,213.25,738294
2025-07-21 19:30:00+00:00,213.25,213.43,212.5,212.54,531767
2025-07-21 20:30:00+00:00,212.54,212.715,212.07,212.48,5335238
2025-07-22 13:30:00+00:00,213.29,213.3,212.48,212.51,568758
2025-07-22 14:30:00+00:00,212.5,214.03,212.24,213.275,2345424
2025-07-22 15:30:00+00:00,213.28,213.69,212.73,213.37,1116539
2025-07-22 16:30:00+00:00,213.37,213.83,212.76,213.37,1331233
2025-07-22 17:30:00+00:00,213.37,214.48,212.84,214.255,814832
2025-07-22 18:30:00+00:00,214.25,214.42,213.44,213.79,632237
2025-07-22 19:30:00+00:00,213.79,214.41,213.79,214.17,690484
2025-07-22 20:30:00+00:00,214.16,214.64,213.93,214.51,6014257
2025-07-23 13:30:00+00:00,215.09,215.11,214.63,214.98,782935
2025-07-23 14:30:00+00:00,214.95,214.95,212.41,213.0,2411226
2025-07-23 15:30:00+00:00,212.99,213.175,212.5,213.08,929265
2025-07-23 16:30:00+00:00,213.07,213.81,212.65,213.44,1030933
2025-07-23 17:30:00+00:00,213.45,214.225,213.37,214.1,489519
2025-07-23 18:30:00+00:00,214.1,214.63,214.1,214.335,1041895
2025-07-23 19:30:00+00:00,214.34,214.69,213.94,214.165,812211
2025-07-23 20:30:00+00:00,214.17,214.53,213.61,214.5,7963559
2025-07-24 13:30:00+00:00,213.85,214.45,213.69,214.03,556239
2025-07-24 14:30:00+00:00,214.06,215.69,213.54,214.435,2020303
2025-07-24 15:30:00+00:00,214.44,215.35,214.06,215.23,1553935
2025-07-24 16:30:00+00:00,215.23,215.49,214.21,214.39,1184108
2025-07-24 17:30:00+00:00,214.38,215.2,214.29,214.8,791999
2025-07-24 18:30:00+00:00,214.805,215.2,214.56,214.75,624683
2025-07-24 19:30:00+00:00,214.75,215.02,214.33,214.88,715474
2025-07-24 20:30:00+00:00,214.875,214.94,213.71,214.02,7959977
2025-07-25 13:30:00+00:00,214.64,214.86,214.34,214.51,387667
2025-07-25 14:30:00+00:00,214.48,214.79,213.73,214.64,1571391
2025-07-25 15:30:00+00:00,214.64,215.24,214.215,214.58,1144195
2025-07-25 16:30:00+00:00,214.585,214.645,214.05,214.44,546939
2025-07-25 17:30:00+00:00,214.46,214.59,214.04,214.2,608989
2025-07-25 18:30:00+00:00,214.2,214.51,213.825,214.0,647132
2025-07-25 19:30:00+00:00,213.99,214.01,213.4,213.66,565546
2025-07-25 20:30:00+00:00,213.66,214.0,213.51,213.75,4822728
2025-07-28 13:30:00+00:00,213.99,214.28,213.62,213.64,547988
2025-07-28 14:30:00+00:00,213.63,214.74,213.58,214.52,1447853
2025-07-28 15:30:00+00:00,214.52,214.84,214.12,214.48,843863
2025-07-28 16:30:00+00:00,214.47,214.755,214.29,214.49,577691
2025-07-28 17:30:00+00:00,214.5,214.575,213.42,213.71,557139
2025-07-28 18:30:00+00:00,213.7,214.02,213.68,213.75,306385
2025-07-28 19:30:00+00:00,213.75,213.795,213.06,213.52,594008
2025-07-28 20:30:00+00:00,213.52,214.05,213.32,214.01,5259808
2025-07-29 13:30:00+00:00,214.16,214.61,214.15,214.48,555462
2025-07-29 14:30:00+00:00,214.48,214.81,211.51,213.18,2371495
2025-07-29 15:30:00+00:00,213.17,213.24,211.89,212.06,1218408
2025-07-29 16:30:00+00:00,212.06,212.92,211.7,212.12,1017434
2025-07-29 17:30:00+00:00,212.11,212.39,210.825,212.32,881224
2025-07-29 18:30:00+00:00,212.31,212.395,211.815,212.03,673214
2025-07-29 19:30:00+00:00,212.03,212.44,211.595,211.85,571357
2025-07-29 20:30:00+00:00,211.85,211.91,211.06,211.29,8514733
2025-07-30 13:30:00+00:00,211.82,212.36,211.39,211.41,623559
2025-07-30 14:30:00+00:00,211.425,212.39,210.02,210.68,1333360
2025-07-30 15:30:00+00:00,210.69,210.71,209.625,209.75,755450
2025-07-30 16:30:00+00:00,209.75,210.42,209.575,210.02,467252
2025-07-30 17:30:00+00:00,210.02,210.14,209.32,209.78,414138
2025-07-30 18:30:00+00:00,209.77,210.14,209.49,209.87,467499
2025-07-30 19:30:00+00:00,209.88,210.14,207.72,208.72,1332866
2025-07-30 20:30:00+00:00,208.74,209.1,208.13,209.0,7159155
2025-07-31 13:30:00+00:00,208.48,208.81,208.1,208.26,876059
2025-07-31 14:30:00+00:00,208.235,209.685,207.81,209.39,2092279
2025-07-31 15:30:00+00:00,209.4,209.54,208.07,208.38,1253186
2025-07-31 16:30:00+00:00,208.37,208.995,208.29,208.89,811364
2025-07-31 17:30:00+00:00,208.89,209.84,208.46,208.46,1001714
2025-07-31 18:30:00+00:00,208.46,208.91,207.59,208.65,1160067
2025-07-31 19:30:00+00:00,208.65,209.38,208.49,208.61,1291595
2025-07-31 20:30:00+00:00,208.615,208.84,207.17,208.01,14240372
2025-08-01 13:30:00+00:00,210.95,212.03,210.29,210.93,1324434
2025-08-01 14:30:00+00:00,210.88,213.58,204.36,205.21,5765916
2025-08-01 15:30:00+00:00,205.21,205.72,203.075,203.53,2400447
2025-08-01 16:30:00+00:00,203.54,204.59,202.66,202.87,1827482
2025-08-01 17:30:00+00:00,202.87,203.29,201.5,202.24,1688080
2025-08-01 18:30:00+00:00,202.24,203.73,201.67,203.59,1659401
